0,1,2,3,4,5,6,7,8,9
"('Walc <= 1.00', 0.3669295822407636)","('Dalc <= 1.00', 0.22401248235148885)","('Mjob <= 1.00', 0.09038001535771022)","('health <= 2.00', 0.08416128161826443)","('famrel <= 4.00', 0.0800465295197834)","('G2 <= 10.00', -0.06980933997676984)","('Medu <= 2.00', 0.06514593768390493)","('romantic <= 0.00', -0.05941483299751448)","('0.00 < famsup <= 1.00', 0.05665763976766519)","('age <= 16.00', -0.053690118339531544)"
"('2.00 < Walc <= 3.00', -0.16473571402529785)","('1.00 < Dalc <= 2.00', -0.1288838347791644)","('G2 > 13.00', 0.08399477305018138)","('famrel <= 4.00', 0.07593830636961235)","('4.00 < health <= 5.00', -0.07202588613565118)","('2.00 < Medu <= 4.00', -0.06561986431454253)","('activities <= 0.00', 0.06255494775216311)","('freetime <= 3.00', 0.06184788945619546)","('0.00 < famsup <= 1.00', 0.060247722000320476)","('romantic <= 0.00', -0.0530420087133087)"
"('Walc <= 1.00', 0.3751644348998328)","('Dalc <= 1.00', 0.22408997431931224)","('famrel <= 4.00', 0.08503767993266735)","('4.00 < health <= 5.00', -0.08348577665227827)","('G2 > 13.00', 0.0704204281775695)","('Medu <= 2.00', 0.07010735848471607)","('famsup <= 0.00', -0.06491719992639362)","('freetime <= 3.00', 0.0643219566554832)","('2.00 < Mjob <= 3.00', -0.05476438422466811)","('0.00 < activities <= 1.00', -0.05471519740509055)"
"('Walc <= 1.00', 0.3665470686738444)","('Dalc <= 1.00', 0.22320679763623924)","('studytime <= 1.00', -0.12906900585634826)","('Mjob > 3.00', -0.09862023584066934)","('4.00 < famrel <= 5.00', -0.08317886421867342)","('G2 > 13.00', 0.07602982118208995)","('freetime > 4.00', -0.0656297413400474)","('famsup <= 0.00', -0.06348215445146456)","('age <= 16.00', -0.06286205468424262)","('0.00 < activities <= 1.00', -0.06036278843816633)"
"('2.00 < Walc <= 3.00', -0.17174624059552976)","('studytime > 2.00', 0.1112272124316825)","('1.00 < Dalc <= 2.00', -0.11108542622790353)","('Mjob <= 1.00', 0.0881148744731276)","('health <= 2.00', 0.07570187262565474)","('famrel <= 4.00', 0.07335259200835148)","('G2 > 13.00', 0.07237303818943269)","('freetime <= 3.00', 0.06416036693288082)","('fatherd <= 0.00', 0.0617171865839805)","('famsup <= 0.00', -0.0577413007665138)"
"('Dalc <= 1.00', 0.2199850447909431)","('studytime <= 1.00', -0.13062435481564105)","('4.00 < famrel <= 5.00', -0.07974260214067971)","('4.00 < health <= 5.00', -0.07578936801077994)","('activities <= 0.00', 0.06459316236533326)","('freetime <= 3.00', 0.0618546480476898)","('famsup <= 0.00', -0.0614991478740181)","('2.00 < Medu <= 4.00', -0.05835807580092568)","('2.00 < Mjob <= 3.00', -0.05547736145090937)","('romantic <= 0.00', -0.043386021573888156)"
"('Walc <= 1.00', 0.375463273632077)","('Dalc <= 1.00', 0.22169209938521325)","('Mjob <= 1.00', 0.09350457735869208)","('0.00 < famsup <= 1.00', 0.07336688912795478)","('famrel <= 4.00', 0.07167666109163907)","('freetime <= 3.00', 0.06554689029048366)","('2.00 < Medu <= 4.00', -0.06550056750606259)","('age <= 16.00', -0.06288611798999731)","('activities <= 0.00', 0.05537505340778172)","('romantic <= 0.00', -0.05489431541141543)"
"('2.00 < Walc <= 3.00', -0.15199184770585739)","('studytime > 2.00', 0.10867514700800493)","('1.00 < Dalc <= 2.00', -0.10111382310611784)","('famrel <= 4.00', 0.07723067631386894)","('0.00 < famsup <= 1.00', 0.07519138161422194)","('2.00 < Medu <= 4.00', -0.07247474193886858)","('0.00 < romantic <= 1.00', 0.06348498206241296)","('age <= 16.00', -0.059291704513671516)","('freetime <= 3.00', 0.056772569277132624)","('2.00 < Mjob <= 3.00', -0.05381205599181123)"
"('Walc <= 1.00', 0.3711152926705533)","('Dalc <= 1.00', 0.22122412690013366)","('Mjob <= 1.00', 0.09565037785785313)","('health <= 2.00', 0.08442872559856024)","('age > 18.00', 0.07762242120108122)","('0.00 < famsup <= 1.00', 0.07605349474043514)","('4.00 < famrel <= 5.00', -0.07514251410623315)","('G2 <= 10.00', -0.07377852750349706)","('2.00 < Medu <= 4.00', -0.06730871822717067)","('0.00 < romantic <= 1.00', 0.04801272972830756)"
"('Dalc <= 1.00', 0.22394373802950734)","('Mjob <= 1.00', 0.09715209990082839)","('famrel <= 4.00', 0.07949950434714705)","('G2 <= 10.00', -0.07885145168043885)","('2.00 < Medu <= 4.00', -0.06714342769255116)","('0.00 < famsup <= 1.00', 0.06331694507850705)","('age <= 16.00', -0.06170974278287767)","('freetime <= 3.00', 0.05458922142290693)","('1.00 < studytime <= 2.00', 0.049733806777196105)","('0.00 < romantic <= 1.00', 0.04932061559021052)"
